2020-05-07 22:46:22 INFO  Executor:54 - Starting executor ID driver on host localhost
2020-05-07 22:46:22 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 39117.
2020-05-07 22:46:22 INFO  NettyBlockTransferService:54 - Server created on ip-172-31-40-171.us-east-2.compute.internal:39117
2020-05-07 22:46:22 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2020-05-07 22:46:22 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, ip-172-31-40-171.us-east-2.compute.internal, 39117, None)
2020-05-07 22:46:22 INFO  BlockManagerMasterEndpoint:54 - Registering block manager ip-172-31-40-171.us-east-2.compute.internal:39117 with 366.3 MB RAM, BlockManagerId(driver, ip-172-31-40-171.us-east-2.compute.internal, 39117, None)
2020-05-07 22:46:22 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, ip-172-31-40-171.us-east-2.compute.internal, 39117, None)
2020-05-07 22:46:22 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, ip-172-31-40-171.us-east-2.compute.internal, 39117, None)
2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4a0d1b6c{/metrics/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:22 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/home/hadoop/spark-warehouse').
2020-05-07 22:46:22 INFO  SharedState:54 - Warehouse path is 'file:/home/hadoop/spark-warehouse'.
2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@63b264a1{/SQL,null,AVAILABLE,@Spark}
2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1500f216{/SQL/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:22 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@755e1c45{/SQL/execution,null,AVAILABLE,@Spark}
